  Wavelength(um)        Flux(Jy)
       411.01595       74.317733
       410.84709       74.370812
       410.67836       74.447689
       410.50977       74.583586
       410.34132       74.791813
       410.17301       75.054938
       410.00484       75.328580
       409.83681       75.558412
       409.66891       75.704379
       409.50115       75.761265
       409.33353       75.764788
       409.16604       75.778280
       408.99869       75.864879
       408.83148       76.058527
       408.66441       76.339029
       408.49747       76.645006
       408.33067       76.900009
       408.16400       77.049225
       407.99747       77.087837
       407.83108       77.065472
       407.66482       77.063178
       407.49870       77.153414
       407.33271       77.362748
       407.16686       77.656338
       407.00114       77.952704
       406.83556       78.162014
       406.67011       78.228975
       406.50480       78.158862
       406.33962       78.013768
       406.17458       77.881337
       406.00967       77.832247
       405.84489       77.888826
       405.68025       78.021286
       405.51574       78.160450
       405.35136       78.244806
       405.18712       78.250996
       405.02301       78.203751
       404.85903       78.159861
       404.69519       78.175111
       404.53148       78.272488
       404.36790       78.428649
       404.20445       78.585355
       404.04113       78.679099
       403.87795       78.672892
       403.71490       78.573760
       403.55198       78.427818
       403.38919       78.296806
       403.22654       78.229210
       403.06401       78.240662
       402.90161       78.312153
       402.73935       78.405347
       402.57722       78.486190
       402.41521       78.529472
       402.25334       78.534704
       402.09160       78.516759
       401.92999       78.493820
       401.76850       78.479585
       401.60715       78.482555
       401.44593       78.510111
       401.28483       78.571502
       401.12387       78.675084
       400.96303       78.820357
       400.80233       78.990784
       400.64175       79.155018
       400.48130       79.280174
       400.32098       79.353018
       400.16079       79.398093
       400.00072       79.480513
       399.84079       79.687232
       399.68098       80.092718
       399.52130       80.725065
       399.36174       81.527937
       399.20232       82.383943
       399.04302       83.145707
       398.88385       83.683123
       398.72480       83.924863
       398.56589       83.875440
       398.40709       83.602226
       398.24843       83.201196
       398.08989       82.759549
       397.93148       82.333022
       397.77319       81.946083
       397.61503       81.609931
       397.45700       81.343533
       397.29909       81.182274
       397.14131       81.167191
       396.98365       81.320363
       396.82611       81.621544
       396.66871       82.002480
       396.51142       82.366832
       396.35426       82.620011
       396.19723       82.714835
       396.04032       82.670984
       395.88353       82.566325
       395.72687       82.502254
       395.57034       82.558333
       395.41392       82.757423
       395.25763       83.057447
       395.10146       83.372987
       394.94542       83.615691
       394.78950       83.733973
       394.63370       83.733722
       394.47803       83.671555
       394.32248       83.625484
       394.16705       83.657992
       394.01174       83.788906
       393.85656       83.989570
       393.70150       84.199194
       393.54656       84.354205
       393.39174       84.414913
       393.23705       84.381158
       393.08247       84.288285
       392.92802       84.188602
       392.77369       84.127633
       392.61948       84.125624
       392.46539       84.171396
       392.31142       84.229839
       392.15757       84.258811
       392.00384       84.228014
       391.85024       84.132375
       391.69675       83.995034
       391.54339       83.859087
       391.39014       83.771323
       391.23701       83.764078
       391.08401       83.842207
       390.93112       83.980510
       390.77835       84.133080
       390.62571       84.251266
       390.47318       84.306393
       390.32077       84.301009
       390.16848       84.270044
       390.01631       84.267527
       389.86425       84.344216
       389.71232       84.525784
       389.56050       84.801259
       389.40880       85.126998
       389.25722       85.444380
       389.10576       85.703012
       388.95442       85.878763
       388.80319       85.978699
       388.65208       86.031714
       388.50109       86.070726
       388.35022       86.116224
       388.19946       86.169506
       388.04882       86.218172
       387.89830       86.248872
       387.74789       86.258111
       387.59760       86.264470
       387.44743       86.293359
       387.29737       86.364921
       387.14743       86.482342
       386.99760       86.628725
       386.84789       86.775428
       386.69830       86.897420
       386.54882       86.986994
       386.39946       87.057994
       386.25022       87.138049
       386.10108       87.253244
       385.95207       87.413960
       385.80317       87.609915
       385.65438       87.817044
       385.50571       88.011922
       385.35715       88.185067
       385.20871       88.345225
       385.06038       88.511575
       384.91217       88.697761
       384.76407       88.907206
       384.61608       89.122048
       384.46821       89.313269
       384.32045       89.456497
       384.17280       89.545093
       384.02527       89.593351
       383.87785       89.628003
       383.73055       89.673246
       383.58336       89.738471
       383.43628       89.816209
       383.28931       89.891431
       383.14246       89.956109
       382.99571       90.019185
       382.84908       90.104502
       382.70257       90.236475
       382.55616       90.421311
       382.40987       90.635365
       382.26369       90.829017
       382.11762       90.945922
       381.97166       90.954092
       381.82581       90.861297
       381.68008       90.716863
       381.53446       90.592170
       381.38894       90.548981
       381.24354       90.611385
       381.09825       90.755400
       380.95307       90.921468
       380.80800       91.043503
       380.66304       91.079934
       380.51819       91.031667
       380.37345       90.939028
       380.22882       90.860615
       380.08431       90.845609
       379.93990       90.913262
       379.79560       91.048291
       379.65141       91.212086
       379.50733       91.361954
       379.36336       91.468030
       379.21949       91.522677
       379.07574       91.536911
       378.93210       91.532639
       378.78856       91.534405
       378.64514       91.563950
       378.50182       91.637120
       378.35861       91.760687
       378.21551       91.928003
       378.07252       92.115799
       377.92963       92.286749
       377.78686       92.400912
       377.64419       92.433951
       377.50163       92.393917
       377.35917       92.325945
       377.21683       92.298222
       377.07459       92.372145
       376.93246       92.569760
       376.79043       92.856305
       376.64852       93.150602
       376.50670       93.356337
       376.36500       93.412701
       376.22340       93.326419
       376.08191       93.171974
       375.94053       93.056449
       375.79925       93.064811
       375.65808       93.213985
       375.51701       93.441406
       375.37605       93.636506
       375.23520       93.700318
       375.09445       93.601906
       374.95381       93.400290
       374.81327       93.218189
       374.67284       93.180061
       374.53251       93.347401
       374.39229       93.686833
       374.25217       94.088992
       374.11216       94.428113
       373.97225       94.628783
       373.83245       94.690624
       373.69275       94.677351
       373.55316       94.657346
       373.41367       94.646511
       373.27428       94.597328
       373.13500       94.454349
       372.99583       94.255557
       372.85675       94.222347
       372.71778       94.771528
       372.57892       96.410837
       372.44015       99.535450
       372.30149       104.20069
       372.16294       109.97503
       372.02448       115.95883
       371.88613       120.99116
       371.74788       123.98618
       371.60974       124.27839
       371.47170       121.84407
       371.33376       117.31091
       371.19592       111.74071
       371.05818       106.29515
       370.92055       101.88908
       370.78302       98.969318
       370.64559       97.484814
       370.50827       97.031652
       370.37104       97.088785
       370.23392       97.235824
       370.09689       97.269567
       369.95997       97.194449
       369.82315       97.122714
       369.68644       97.154479
       369.54982       97.302949
       369.41330       97.494018
       369.27689       97.624567
       369.14057       97.634258
       369.00436       97.544834
       368.86824       97.446012
       368.73223       97.440796
       368.59632       97.579485
       368.46050       97.833943
       368.32479       98.113250
       368.18918       98.315435
       368.05367       98.383821
       367.91825       98.335849
       367.78294       98.249923
       367.64772       98.220044
       367.51261       98.305244
       367.37759       98.501723
       367.24268       98.751011
       367.10786       98.976440
       366.97314       99.125278
       366.83852       99.192744
       366.70400       99.216582
       366.56958       99.248638
       366.43525       99.322437
       366.30103       99.436226
       366.16690       99.559996
       366.03287       99.658702
       365.89894       99.717518
       365.76511       99.750824
       365.63137       99.790797
       365.49774       99.863782
       365.36420       99.970411
       365.23076       100.08300
       365.09741       100.16258
       364.96416       100.18532
       364.83101       100.16133
       364.69796       100.13331
       364.56500       100.15395
       364.43215       100.25470
       364.29938       100.42402
       364.16672       100.60904
       364.03415       100.74113
       363.90168       100.77235
       363.76930       100.70247
       363.63702       100.58089
       363.50484       100.48754
       363.37275       100.48997
       363.24076       100.61212
       363.10886       100.82500
       362.97706       101.06428
       362.84536       101.26473
