  Wavelength(um)          Flux(Jy)         Error(Jy)
         69.9768           132.802           1.81347
         69.9964           132.302           1.76435
         70.0161           131.842           2.17841
         70.0358           134.139           2.08288
         70.0555           130.990           1.78269
         70.0751           134.793           2.02825
         70.0948           133.194           1.65005
         70.1145           133.714           2.10349
         70.1342           133.218           2.25101
         70.1538           132.480           2.11237
         70.1735           131.333           2.05973
         70.1932           130.885           2.06285
         70.2129           132.002           1.59876
         70.2325           133.189           2.32675
         70.2522           131.884           2.40307
         70.2719           135.151           1.99692
         70.2916           132.105           2.08896
         70.3112           132.260           2.44675
         70.3309           132.976           1.76596
         70.3506           131.105           1.82032
         70.3702           132.199           1.86546
         70.3899           133.768           1.74868
         70.4096           133.004           2.01381
         70.4293           134.263           2.51067
         70.4489           132.778           2.09636
         70.4686           132.292           2.06846
         70.4883           135.036           1.69168
         70.5079           134.296           1.72831
         70.5276           133.011           1.68945
         70.5473           134.278           2.18463
         70.5669           135.545           2.24971
         70.5866           134.242           1.78828
         70.6063           135.155           2.46002
         70.6259           133.723           1.63250
         70.6456           133.166           1.96669
         70.6653           135.820           2.10366
         70.6849           135.275           1.93891
         70.7046           133.747           1.72158
         70.7243           135.543           2.06189
         70.7439           134.581           1.85828
         70.7636           134.494           2.32561
         70.7833           137.080           2.09402
         70.8029           134.821           1.55189
         70.8226           135.318           1.62182
         70.8422           137.215           2.14553
         70.8619           137.503           1.74653
         70.8816           139.076           2.06852
         70.9012           140.476           1.67118
         70.9209           141.192           1.94361
         70.9406           138.530           2.36997
         70.9602           137.594           2.17036
         70.9799           138.333           1.82779
         70.9995           137.839           1.90930
         71.0192           140.079           2.19699
         71.0389           138.138           2.00084
         71.0585           139.730           2.13812
         71.0782           138.572           2.36513
         71.0978           139.548           2.37327
         71.1175           140.004           2.19871
         71.1371           140.917           2.89688
         71.1568           141.159           2.09528
         71.1765           142.342           2.19833
         71.1961           142.052           2.34075
         71.2158           142.695           2.49416
         71.2354           142.301           2.95251
         71.2551           141.083           3.28594
         71.2747           140.924           2.47743
         71.2944           142.421           2.25488
         71.3140           140.731           3.03737
         71.3337           140.555           2.70250
         71.3533           142.482           2.00880
         71.3730           141.853           1.82661
         71.3926           141.042           2.72139
         71.4123           141.616           2.40984
         71.4319           140.953           2.67784
         71.4516           141.570           2.60723
         71.4712           139.878           1.74054
