       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         69.3272          0.417730           2.53583
         69.3469           1.31234           1.67609
         69.3666         -0.738513           2.16993
         69.3863          0.187790           1.44464
         69.4060          -1.07040           2.23581
         69.4257         -0.260214           2.32011
         69.4453          0.522002           2.47220
         69.4650          0.610612           1.97270
         69.4847          -1.21484           1.56051
         69.5044           1.06356           2.41873
         69.5241           1.44420           2.01168
         69.5438          -1.33196           1.88184
         69.5635         -0.666720           1.58235
         69.5831           1.29508           2.00717
         69.6028         -0.648916           1.88382
         69.6225           1.57806           2.16531
         69.6422           1.40859           2.25787
         69.6619         -0.153093           1.60237
         69.6815           2.36292           2.40686
         69.7012          -2.87774           2.08702
         69.7209          -2.48094           2.08328
         69.7406          0.240983           1.79704
         69.7603         -0.588856           1.61862
         69.7800          0.241875           2.51378
         69.7996          0.977571           1.84727
         69.8193          0.503424           1.81471
         69.8390           1.15953           1.94613
         69.8587          -1.39599           2.11778
         69.8784          -1.71307           1.75231
         69.8980          -1.72182           1.92374
         69.9177           1.62900           1.75984
         69.9374           1.39962           1.60871
         69.9571         -0.936289           1.92724
         69.9768          0.359484           1.81347
         69.9964         -0.187626           1.76435
         70.0161         -0.693696           2.17841
         70.0358           1.57428           2.08288
         70.0555          -1.63989           1.78269
         70.0751           2.12921           2.02825
         70.0948          0.487881           1.65005
         70.1145           1.00058           2.10349
         70.1342          0.532548           2.25101
         70.1538         -0.151544           2.11237
         70.1735          -1.26616           2.05973
         70.1932          -1.70519           2.06285
         70.2129         -0.595787           1.59876
         70.2325          0.573433           2.32675
         70.2522         -0.754701           2.40307
         70.2719           2.49951           1.99692
         70.2916         -0.590397           2.08896
         70.3112         -0.455011           2.44675
         70.3309          0.213028           1.76596
         70.3506          -1.74348           1.82032
         70.3702         -0.754132           1.86546
         70.3899          0.685309           1.74868
         70.4096         -0.215339           2.01381
         70.4293          0.931655           2.51067
         70.4489         -0.671323           2.09636
         70.4686          -1.28070           2.06846
         70.4883           1.34593           1.69168
         70.5079          0.483112           1.72831
         70.5276         -0.937037           1.68945
         70.5473          0.208594           2.18463
         70.5669           1.34920           2.24971
         70.5866        -0.0755724           1.78828
         70.6063          0.745644           2.46002
         70.6259         -0.787758           1.63250
         70.6456          -1.46669           1.96669
         70.6653           1.05379           2.10366
         70.6849          0.352650           1.93891
         70.7046          -1.34418           1.72158
         70.7243          0.287033           2.06189
         70.7439         -0.869326           1.85828
         70.7636          -1.16923           2.32561
         70.7833           1.20952           2.09402
         70.8029          -1.29159           1.55189
         70.8226          -1.04622           1.62182
         70.8422          0.584870           2.14553
         70.8619          0.540205           1.74653
         70.8816           1.05194           2.06852
         70.9012         0.0605842           1.67118
         70.9209          0.914911           1.94361
         70.9406         0.0605976           2.36997
         70.9602         -0.587615           2.17036
         70.9799        -0.0782793           1.82779
         70.9995         -0.845005           1.90930
         71.0192           1.13282           2.19699
         71.0389          -1.08575           2.00084
         71.0585          0.257474           2.13812
         71.0782          -1.15684           2.36513
         71.0978         -0.427557           2.37327
         71.1175         -0.214747           2.19871
         71.1371          0.453791           2.89688
